class_161,advancement.Advancement
class_2313,block.DetectorRailBlock
class_2369,block.DirtPathBlock
class_2970,block.dispenser.BlockPlacementDispenserBehavior
class_2967,block.dispenser.BoatDispenserBehavior
class_2357,block.dispenser.DispenserBehavior
class_2969,block.dispenser.FallibleItemDispenserBehavior
class_2347,block.dispenser.ItemDispenserBehavior
class_2965,block.dispenser.ProjectileDispenserBehavior
class_5168,block.dispenser.ShearsDispenserBehavior
class_2315,block.DispenserBlock
class_2323,block.DoorBlock
class_4732,block.DoubleBlockProperties
class_2328,block.DragonEggBlock
class_2325,block.DropperBlock
class_5815,block.DyedCarpetBlock
class_2331,block.EnchantingTableBlock
class_2336,block.EnderChestBlock
class_2329,block.EndGatewayBlock
class_2334,block.EndPortalBlock
class_2333,block.EndPortalFrameBlock
class_5551,block.EndRodBlock
class_2609,block.entity.AbstractFurnaceBlockEntity
class_2573,block.entity.BannerBlockEntity
class_2582,block.entity.BannerPattern
class_7446,block.entity.BannerPatterns
class_3719,block.entity.BarrelBlockEntity
class_2580,block.entity.BeaconBlockEntity
class_2587,block.entity.BedBlockEntity
class_4482,block.entity.BeehiveBlockEntity
class_3721,block.entity.BellBlockEntity
class_3720,block.entity.BlastFurnaceBlockEntity
class_2586,block.entity.BlockEntity
class_5558,block.entity.BlockEntityTicker
class_2591,block.entity.BlockEntityType
class_2589,block.entity.BrewingStandBlockEntity
class_8174,block.entity.BrushableBlockEntity
class_8239,block.entity.CalibratedSculkSensorBlockEntity
class_3924,block.entity.CampfireBlockEntity
class_2595,block.entity.ChestBlockEntity
class_5560,block.entity.ChestLidAnimator
class_7716,block.entity.ChiseledBookshelfBlockEntity
class_2593,block.entity.CommandBlockBlockEntity
class_2599,block.entity.ComparatorBlockEntity
class_2597,block.entity.ConduitBlockEntity
class_8887,block.entity.CrafterBlockEntity
class_2603,block.entity.DaylightDetectorBlockEntity
class_8172,block.entity.DecoratedPotBlockEntity
class_2601,block.entity.DispenserBlockEntity
class_2608,block.entity.DropperBlockEntity
class_2605,block.entity.EnchantingTableBlockEntity
class_2611,block.entity.EnderChestBlockEntity
class_2643,block.entity.EndGatewayBlockEntity
class_2640,block.entity.EndPortalBlockEntity
class_3866,block.entity.FurnaceBlockEntity
class_7717,block.entity.HangingSignBlockEntity
class_2615,block.entity.Hopper
class_2614,block.entity.HopperBlockEntity
class_3751,block.entity.JigsawBlockEntity
class_2619,block.entity.JukeboxBlockEntity
class_3722,block.entity.LecternBlockEntity
class_2618,block.entity.LidOpenable
class_2624,block.entity.LockableContainerBlockEntity
class_2621,block.entity.LootableContainerBlockEntity
class_2636,block.entity.MobSpawnerBlockEntity
class_2669,block.entity.PistonBlockEntity
class_7132,block.entity.SculkCatalystBlockEntity
class_5704,block.entity.SculkSensorBlockEntity
class_7133,block.entity.SculkShriekerBlockEntity
class_7262,block.entity.SculkShriekerWarningManager
class_7128,block.entity.SculkSpreadManager
class_8526,block.entity.Sherds
class_2627,block.entity.ShulkerBoxBlockEntity
class_2625,block.entity.SignBlockEntity
class_8242,block.entity.SignText
class_2631,block.entity.SkullBlockEntity
class_3723,block.entity.SmokerBlockEntity
class_8959,block.entity.Spawner
class_2633,block.entity.StructureBlockBlockEntity
class_2646,block.entity.TrappedChestBlockEntity
class_8961,block.entity.TrialSpawnerBlockEntity
class_9199,block.entity.VaultBlockEntity
class_5561,block.entity.ViewerCountManager
class_3727,block.EntityShapeContext
class_3867,block.enums.Attachment
class_2737,block.enums.BambooLeaves
class_2742,block.enums.BedPart
class_2738,block.enums.BlockFace
class_2760,block.enums.BlockHalf
class_2745,block.enums.ChestType
class_2747,block.enums.ComparatorMode
class_2750,block.enums.DoorHinge
class_2756,block.enums.DoubleBlockHalf
class_2766,block.enums.Instrument
class_5000,block.enums.Orientation
class_2764,block.enums.PistonType
class_2768,block.enums.RailShape
class_5705,block.enums.SculkSensorPhase
class_2771,block.enums.SlabType
class_2778,block.enums.StairShape
class_2776,block.enums.StructureBlockMode
class_5691,block.enums.Thickness
class_5816,block.enums.Tilt
class_8967,block.enums.TrialSpawnerState
class_9206,block.enums.VaultState
class_4778,block.enums.WallShape
class_2773,block.enums.WireConnection
class_2431,block.ExperienceDroppingBlock
class_2318,block.FacingBlock
class_2346,block.FallingBlock
class_2344,block.FarmlandBlock
class_2354,block.FenceBlock
class_2349,block.FenceGateBlock
class_2256,block.Fertilizable
class_2358,block.FireBlock
class_3712,block.FletchingTableBlock
class_8169,block.FlowerbedBlock
class_2356,block.FlowerBlock
class_2362,block.FlowerPotBlock
class_2404,block.FluidBlock
class_2263,block.FluidDrainable
class_2402,block.FluidFillable
class_7113,block.FrogspawnBlock
class_2360,block.FrostedIceBlock
class_4771,block.FungusBlock
class_3865,block.FurnaceBlock
class_2366,block.GlazedTerracottaBlock
class_5777,block.GlowLichenBlock
class_2372,block.GrassBlock
class_9009,block.GrateBlock
class_3713,block.GrindstoneBlock
class_5806,block.HangingRootsBlock
class_7713,block.HangingSignBlock
class_2380,block.HayBlock
class_4622,block.HoneyBlock
class_2377,block.HopperBlock
class_2310,block.HorizontalConnectingBlock
class_2383,block.HorizontalFacingBlock
class_2386,block.IceBlock
class_2384,block.InfestedBlock
class_3954,block.InventoryProvider
class_3748,block.JigsawBlock
class_2387,block.JukeboxBlock
class_2393,block.KelpBlock
class_2391,block.KelpPlantBlock
class_2399,block.LadderBlock
class_5688,block.LandingBlock
class_3749,block.LanternBlock
class_5553,block.LavaCauldronBlock
class_2397,block.LeavesBlock
class_3715,block.LecternBlock
class_5556,block.LeveledCauldronBlock
class_2401,block.LeverBlock
class_7118,block.LichenGrower
class_6089,block.LightBlock
class_5554,block.LightningRodBlock
class_2553,block.LilyPadBlock
class_2406,block.LoomBlock
class_2413,block.MagmaBlock
class_7114,block.MangroveLeavesBlock
class_7116,block.MangroveRootsBlock
class_3620,block.MapColor
class_5807,block.MossBlock
class_7117,block.MudBlock
class_5778,block.MultifaceGrowthBlock
class_2381,block.MushroomBlock
class_2420,block.MushroomPlantBlock
class_2418,block.MyceliumBlock
class_2423,block.NetherPortalBlock
class_4773,block.NetherrackBlock
class_2421,block.NetherWartBlock
class_2428,block.NoteBlock
class_4849,block.NyliumBlock
class_2426,block.ObserverBlock
class_5552,block.OperatorBlock
class_5955,block.Oxidizable
class_5812,block.OxidizableBlock
class_8924,block.OxidizableBulbBlock
class_8925,block.OxidizableDoorBlock
class_8926,block.OxidizableGrateBlock
class_5813,block.OxidizableSlabBlock
class_5814,block.OxidizableStairsBlock
class_8927,block.OxidizableTrapdoorBlock
class_2389,block.PaneBlock
class_2700,block.pattern.BlockPattern
class_2697,block.pattern.BlockPatternBuilder
class_2694,block.pattern.CachedBlockPosition
class_2465,block.PillarBlock
class_3619,block.piston.PistonBehavior
class_2674,block.piston.PistonHandler
class_2665,block.PistonBlock
class_2667,block.PistonExtensionBlock
class_2671,block.PistonHeadBlock
class_8237,block.PitcherCropBlock
class_2261,block.PlantBlock
class_2435,block.PlayerSkullBlock
class_5689,block.PointedDripstoneBlock
class_2439,block.PotatoesBlock
class_5635,block.PowderSnowBlock
class_2442,block.PoweredRailBlock
class_2440,block.PressurePlateBlock
class_7115,block.PropaguleBlock
class_2445,block.PumpkinBlock
class_2443,block.RailBlock
class_2452,block.RailPlacementHelper
class_2436,block.RedstoneBlock
class_2453,block.RedstoneLampBlock
class_2449,block.RedstoneOreBlock
class_2459,block.RedstoneTorchBlock
class_2457,block.RedstoneWireBlock
class_2462,block.RepeaterBlock
class_4969,block.RespawnAnchorBlock
class_2337,block.RodBlock
class_5954,block.RootedDirtBlock
class_4774,block.RootsBlock
class_6348,block.RotatedInfestedBlock
class_2473,block.SaplingBlock
class_8813,block.SaplingGenerator
class_3736,block.ScaffoldingBlock
class_7125,block.SculkBlock
class_7126,block.SculkCatalystBlock
class_5703,block.SculkSensorBlock
class_7268,block.SculkShriekerBlock
class_7124,block.SculkSpreadable
class_7130,block.SculkVeinBlock
class_2476,block.SeagrassBlock
class_2472,block.SeaPickleBlock
class_3726,block.ShapeContext
class_2526,block.ShortPlantBlock
class_2480,block.ShulkerBoxBlock
class_5431,block.SideShapeType
class_2508,block.SignBlock
class_2484,block.SkullBlock
class_2482,block.SlabBlock
class_2490,block.SlimeBlock
class_5808,block.SmallDripleafBlock
class_3717,block.SmithingTableBlock
class_3716,block.SmokerBlock
class_8238,block.SnifferEggBlock
class_2488,block.SnowBlock
class_2493,block.SnowyBlock
class_4775,block.SoulFireBlock
class_2492,block.SoulSandBlock
class_8962,block.spawner.EntityDetector
class_1952,block.spawner.MobSpawnerEntry
class_1917,block.spawner.MobSpawnerLogic
class_8965,block.spawner.TrialSpawnerConfig
class_8966,block.spawner.TrialSpawnerData
class_8963,block.spawner.TrialSpawnerLogic
class_2496,block.SpawnerBlock
class_2502,block.SpongeBlock
class_5809,block.SporeBlossomBlock
class_2500,block.SpreadableBlock
class_4772,block.SproutsBlock
class_4275,block.Stainable
class_2506,block.StainedGlassBlock
class_2504,block.StainedGlassPaneBlock
class_2510,block.StairsBlock
class_2513,block.StemBlock
class_3718,block.StonecutterBlock
class_2515,block.StructureBlock
class_2518,block.StructureVoidBlock
class_2523,block.SugarCaneBlock
class_7917,block.SuspiciousStewIngredient
class_3830,block.SweetBerryBushBlock
class_2521,block.TallFlowerBlock
class_2320,block.TallPlantBlock
class_2525,block.TallSeagrassBlock
class_4850,block.TargetBlock
class_5555,block.TintedGlassBlock
class_2530,block.TntBlock
class_2527,block.TorchBlock
class_8171,block.TorchflowerBlock
class_2373,block.TranslucentBlock
class_8923,block.TransparentBlock
class_2533,block.TrapdoorBlock
class_2531,block.TrappedChestBlock
class_8960,block.TrialSpawnerBlock
class_2538,block.TripwireBlock
class_2537,block.TripwireHookBlock
class_2542,block.TurtleEggBlock
class_4777,block.TwistingVinesBlock
class_4950,block.TwistingVinesPlantBlock
class_9202,block.vault.VaultClientData
class_9203,block.vault.VaultConfig
class_9204,block.vault.VaultServerData
class_9205,block.vault.VaultSharedData
class_9197,block.VaultBlock
class_2541,block.VineBlock
class_4949,block.VineLogic
class_2546,block.WallBannerBlock
class_2544,block.WallBlock
class_7715,block.WallHangingSignBlock
class_2341,block.WallMountedBlock
class_7938,block.WallPiglinHeadBlock
class_2433,block.WallPlayerSkullBlock
class_2458,block.WallRedstoneTorchBlock
class_2551,block.WallSignBlock
class_2549,block.WallSkullBlock
class_2555,block.WallTorchBlock
class_2567,block.WallWitherSkullBlock
class_3737,block.Waterloggable
class_8574,block.WearableCarvedPumpkinBlock
class_4776,block.WeepingVinesBlock
class_4951,block.WeepingVinesPlantBlock
class_2557,block.WeightedPressurePlateBlock
class_2565,block.WetSpongeBlock
class_2563,block.WitherRoseBlock
class_2570,block.WitherSkullBlock
class_4719,block.WoodType
class_2966,Bootstrap
class_322,client.color.block.BlockColorProvider
class_324,client.color.block.BlockColors
class_326,client.color.item.ItemColorProvider
class_325,client.color.item.ItemColors
class_1163,client.color.world.BiomeColors
class_1926,client.color.world.FoliageColors
class_1933,client.color.world.GrassColors
class_386,client.font.BitmapFont
class_376,client.font.BlankFont
class_7191,client.font.BuiltinEmptyGlyph
class_384,client.font.EmptyGlyphRenderer
class_390,client.font.Font
class_9243,client.font.FontFilterType
class_389,client.font.FontLoader
class_378,client.font.FontManager
class_377,client.font.FontStorage
class_394,client.font.FontType
class_9111,client.font.FreeTypeUtil
class_379,client.font.Glyph
class_380,client.font.GlyphAtlasTexture
class_8532,client.font.GlyphContainer
class_382,client.font.GlyphRenderer
class_5489,client.font.MultilineText
class_8541,client.font.ReferenceFont
class_383,client.font.RenderableGlyph
class_7166,client.font.SpaceFont
class_5225,client.font.TextHandler
class_327,client.font.TextRenderer
class_8538,client.font.TextRenderLayerSet
class_395,client.font.TrueTypeFont
class_8557,client.font.TrueTypeFontLoader
class_391,client.font.UnihexFont
class_5936,client.gl.EffectShaderProgram
class_5937,client.gl.EffectShaderStage
class_276,client.gl.Framebuffer
class_277,client.gl.GlBlendState
class_1008,client.gl.GlDebug
class_5913,client.gl.GlImportProcessor
class_285,client.gl.GlProgramManager
class_7168,client.gl.GlTimer
class_284,client.gl.GlUniform
class_280,client.gl.JsonEffectShaderProgram
class_283,client.gl.PostEffectPass
class_279,client.gl.PostEffectProcessor
class_5944,client.gl.ShaderProgram
class_3679,client.gl.ShaderProgramSetupView
class_281,client.gl.ShaderStage
class_6367,client.gl.SimpleFramebuffer
class_278,client.gl.Uniform
class_291,client.gl.VertexBuffer
class_6364,client.gl.WindowFramebuffer
class_362,client.gui.AbstractParentElement
class_751,client.gui.CubeMapRenderer
class_4068,client.gui.Drawable
class_332,client.gui.DrawContext
class_7530,client.gui.EditBox
class_364,client.gui.Element
class_337,client.gui.hud.BossBarHud
class_338,client.gui.hud.ChatHud
class_303,client.gui.hud.ChatHudLine
class_345,client.gui.hud.ClientBossBar
class_8755,client.gui.hud.debug.DebugChart
class_8756,client.gui.hud.debug.PacketSizeChart
class_8758,client.gui.hud.debug.PingChart
class_8757,client.gui.hud.debug.RenderingChart
class_8759,client.gui.hud.debug.TickChart
class_340,client.gui.hud.DebugHud
class_329,client.gui.hud.InGameHud
class_4603,client.gui.hud.InGameOverlayRenderer
class_7591,client.gui.hud.MessageIndicator
class_355,client.gui.hud.PlayerListHud
class_534,client.gui.hud.spectator.RootSpectatorCommandGroup
class_531,client.gui.hud.spectator.SpectatorMenu
class_536,client.gui.hud.spectator.SpectatorMenuCloseCallback
class_537,client.gui.hud.spectator.SpectatorMenuCommand
class_535,client.gui.hud.spectator.SpectatorMenuCommandGroup
class_539,client.gui.hud.spectator.SpectatorMenuState
class_540,client.gui.hud.spectator.TeamTeleportSpectatorMenu
class_538,client.gui.hud.spectator.TeleportSpectatorMenu
class_530,client.gui.hud.spectator.TeleportToSpecificPlayerSpectatorCommand
class_365,client.gui.hud.SpectatorHud
class_359,client.gui.hud.SubtitlesHud
class_9080,client.gui.LayeredDrawer
class_8020,client.gui.LogoDrawer
class_6383,client.gui.Narratable
class_8023,client.gui.navigation.GuiNavigation
class_8016,client.gui.navigation.GuiNavigationPath
class_8015,client.gui.navigation.GuiNavigationType
class_8083,client.gui.navigation.Navigable
class_8027,client.gui.navigation.NavigationAxis
class_8028,client.gui.navigation.NavigationDirection
class_4069,client.gui.ParentElement
class_7532,client.gui.PlayerSkinDrawer
class_766,client.gui.RotatingCubeMapRenderer
class_8082,client.gui.screen.AccessibilityOnboardingButtons
class_8032,client.gui.screen.AccessibilityOnboardingScreen
class_455,client.gui.screen.advancement.AdvancementObtainedStatus
class_457,client.gui.screen.advancement.AdvancementsScreen
class_454,client.gui.screen.advancement.AdvancementTab
class_453,client.gui.screen.advancement.AdvancementTabType
class_456,client.gui.screen.advancement.AdvancementWidget
class_8666,client.gui.screen.ButtonTextures
class_4717,client.gui.screen.ChatInputSuggestor
class_408,client.gui.screen.ChatScreen
class_407,client.gui.screen.ConfirmLinkScreen
class_410,client.gui.screen.ConfirmScreen
class_445,client.gui.screen.CreditsScreen
class_418,client.gui.screen.DeathScreen
class_417,client.gui.screen.DemoScreen
class_5405,client.gui.screen.DialogScreen
class_419,client.gui.screen.DisconnectedScreen
class_434,client.gui.screen.DownloadingTerrainScreen
class_421,client.gui.screen.FatalErrorScreen
class_433,client.gui.screen.GameMenuScreen
class_5289,client.gui.screen.GameModeSelectionScreen
class_463,client.gui.screen.ingame.AbstractCommandBlockScreen
class_489,client.gui.screen.ingame.AbstractFurnaceScreen
class_485,client.gui.screen.ingame.AbstractInventoryScreen
class_7743,client.gui.screen.ingame.AbstractSignEditScreen
class_471,client.gui.screen.ingame.AnvilScreen
class_466,client.gui.screen.ingame.BeaconScreen
class_3871,client.gui.screen.ingame.BlastFurnaceScreen
class_473,client.gui.screen.ingame.BookEditScreen
class_3872,client.gui.screen.ingame.BookScreen
class_472,client.gui.screen.ingame.BrewingStandScreen
class_3934,client.gui.screen.ingame.CartographyTableScreen
class_477,client.gui.screen.ingame.CommandBlockScreen
class_8898,client.gui.screen.ingame.CrafterScreen
class_479,client.gui.screen.ingame.CraftingScreen
class_478,client.gui.screen.ingame.CreativeInventoryListener
class_481,client.gui.screen.ingame.CreativeInventoryScreen
class_8064,client.gui.screen.ingame.CyclingSlotIcon
class_487,client.gui.screen.ingame.EnchantingPhrases
class_486,client.gui.screen.ingame.EnchantmentScreen
class_4894,client.gui.screen.ingame.ForgingScreen
class_3873,client.gui.screen.ingame.FurnaceScreen
class_480,client.gui.screen.ingame.Generic3x3ContainerScreen
class_476,client.gui.screen.ingame.GenericContainerScreen
class_3802,client.gui.screen.ingame.GrindstoneScreen
class_465,client.gui.screen.ingame.HandledScreen
class_3929,client.gui.screen.ingame.HandledScreens
class_7744,client.gui.screen.ingame.HangingSignEditScreen
class_488,client.gui.screen.ingame.HopperScreen
class_491,client.gui.screen.ingame.HorseScreen
class_490,client.gui.screen.ingame.InventoryScreen
class_3742,client.gui.screen.ingame.JigsawBlockScreen
class_3935,client.gui.screen.ingame.LecternScreen
class_494,client.gui.screen.ingame.LoomScreen
class_492,client.gui.screen.ingame.MerchantScreen
class_496,client.gui.screen.ingame.MinecartCommandBlockScreen
class_3936,client.gui.screen.ingame.ScreenHandlerProvider
class_495,client.gui.screen.ingame.ShulkerBoxScreen
class_498,client.gui.screen.ingame.SignEditScreen
class_4895,client.gui.screen.ingame.SmithingScreen
class_3874,client.gui.screen.ingame.SmokerScreen
class_3979,client.gui.screen.ingame.StonecutterScreen
class_497,client.gui.screen.ingame.StructureBlockScreen
class_7413,client.gui.screen.LoadingDisplay
class_424,client.gui.screen.MessageScreen
class_422,client.gui.screen.multiplayer.AddServerScreen
class_412,client.gui.screen.multiplayer.ConnectScreen
class_420,client.gui.screen.multiplayer.DirectConnectScreen
class_500,client.gui.screen.multiplayer.MultiplayerScreen
class_4267,client.gui.screen.multiplayer.MultiplayerServerListWidget
class_4749,client.gui.screen.multiplayer.MultiplayerWarningScreen
class_5519,client.gui.screen.multiplayer.SocialInteractionsPlayerListEntry
class_5521,client.gui.screen.multiplayer.SocialInteractionsPlayerListWidget
class_5522,client.gui.screen.multiplayer.SocialInteractionsScreen
class_6384,client.gui.screen.narration.Narration
class_6382,client.gui.screen.narration.NarrationMessageBuilder
class_6381,client.gui.screen.narration.NarrationPart
class_6385,client.gui.screen.narration.ScreenNarrator
class_403,client.gui.screen.NoticeScreen
class_436,client.gui.screen.OpenToLanScreen
class_4189,client.gui.screen.option.AccessibilityOptionsScreen
class_404,client.gui.screen.option.ChatOptionsScreen
class_459,client.gui.screen.option.ControlsListWidget
class_458,client.gui.screen.option.ControlsOptionsScreen
class_8219,client.gui.screen.option.CreditsAndAttributionScreen
class_9246,client.gui.screen.option.FontOptionsScreen
class_4667,client.gui.screen.option.GameOptionsScreen
class_6599,client.gui.screen.option.KeybindsScreen
class_426,client.gui.screen.option.LanguageOptionsScreen
class_4288,client.gui.screen.option.MouseOptionsScreen
class_6777,client.gui.screen.option.OnlineOptionsScreen
class_429,client.gui.screen.option.OptionsScreen
class_5500,client.gui.screen.option.SimpleOptionsScreen
class_440,client.gui.screen.option.SkinOptionsScreen
class_443,client.gui.screen.option.SoundOptionsScreen
class_7941,client.gui.screen.option.TelemetryEventWidget
class_7944,client.gui.screen.option.TelemetryInfoScreen
class_446,client.gui.screen.option.VideoOptionsScreen
class_428,client.gui.screen.OutOfMemoryScreen
class_4071,client.gui.screen.Overlay
class_7745,client.gui.screen.pack.ExperimentalWarningScreen
class_521,client.gui.screen.pack.PackListWidget
class_5375,client.gui.screen.pack.PackScreen
class_5369,client.gui.screen.pack.ResourcePackOrganizer
class_8816,client.gui.screen.PopupScreen
class_435,client.gui.screen.ProgressScreen
class_7064,client.gui.screen.Realms32BitWarningScreen
class_517,client.gui.screen.recipebook.AbstractFurnaceRecipeBookScreen
class_514,client.gui.screen.recipebook.AnimatedResultButton
class_3875,client.gui.screen.recipebook.BlastFurnaceRecipeBookScreen
class_3876,client.gui.screen.recipebook.FurnaceRecipeBookScreen
class_508,client.gui.screen.recipebook.RecipeAlternativesWidget
class_505,client.gui.screen.recipebook.RecipeBookGhostSlots
class_518,client.gui.screen.recipebook.RecipeBookProvider
class_513,client.gui.screen.recipebook.RecipeBookResults
class_507,client.gui.screen.recipebook.RecipeBookWidget
class_515,client.gui.screen.recipebook.RecipeDisplayListener
class_512,client.gui.screen.recipebook.RecipeGroupButtonWidget
class_516,client.gui.screen.recipebook.RecipeResultCollection
class_3877,client.gui.screen.recipebook.SmokerRecipeBookScreen
class_8671,client.gui.screen.ReconfiguringScreen
class_7551,client.gui.screen.report.AbuseReportReasonScreen
class_8770,client.gui.screen.report.AbuseReportTypeScreen
class_7538,client.gui.screen.report.ChatReportScreen
class_7543,client.gui.screen.report.ChatSelectionScreen
class_8768,client.gui.screen.report.ReportScreen
class_8771,client.gui.screen.report.SkinReportScreen
class_8769,client.gui.screen.report.UsernameReportScreen
class_437,client.gui.screen.Screen
class_423,client.gui.screen.SleepingChatScreen
class_425,client.gui.screen.SplashOverlay
class_8519,client.gui.screen.SplashTextRenderer
class_447,client.gui.screen.StatsScreen
class_7534,client.gui.screen.TaskScreen
class_442,client.gui.screen.TitleScreen
class_7065,client.gui.screen.WarningScreen
class_405,client.gui.screen.world.BackupPromptScreen
class_525,client.gui.screen.world.CreateWorldScreen
class_415,client.gui.screen.world.CustomizeBuffetLevelScreen
class_413,client.gui.screen.world.CustomizeFlatLevelScreen
class_5346,client.gui.screen.world.DataPackFailureScreen
class_5235,client.gui.screen.world.EditGameRulesScreen
class_524,client.gui.screen.world.EditWorldScreen
class_8134,client.gui.screen.world.ExperimentsScreen
class_3928,client.gui.screen.world.LevelLoadingScreen
class_5293,client.gui.screen.world.LevelScreenProvider
